PRODUCTO,AÑO,MES,TIPOCOMPRA,HOSPITAL,TGL,CANTIDADCOMPRA
EQ. DE PRESION NEGATIVA / Espuma de poliuretano-36,2021,12,Compra menor,18,TRANSITO,5
APOSITO DE HIDROCOLOIDE-9,2021,12,Concurso,4,ALMACENABLE,150
APOSITO DE HIDROCOLOIDE-6,2021,12,Concurso,4,ALMACENABLE,30
APOSITO DE HIDROCOLOIDE-6,2021,12,Concurso,10,ALMACENABLE,760
APOSITO DE HIDROCOLOIDE-7,2021,12,Concurso,0,ALMACENABLE,100
APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-13,2021,12,Concurso,10,ALMACENABLE,20
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2022,12,Compra menor,4,ALMACENABLE,60
APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,2022,12,Concurso,10,ALMACENABLE,360
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,2022,12,Concurso,0,ALMACENABLE,120
APÓSITO TRANSPARENTE ADHESIVO-24,2022,12,Concurso,10,ALMACENABLE,1500
EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,2022,12,Compra menor,18,TRANSITO,5
EQ. DE PRESION NEGATIVA / Espuma de poliuretano-36,2022,12,Compra menor,18,TRANSITO,10
APOSITO DE HIDROCOLOIDE-9,2022,12,Concurso,0,ALMACENABLE,1008
APÓSITO MALLADO C/ OLIGOSACÁRIDOS-1,2022,12,Compra menor,0,ALMACENABLE,40
APOSITO DE HIDROCOLOIDE-7,2022,12,Concurso,0,ALMACENABLE,100
APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,2022,12,Concurso,10,ALMACENABLE,510
GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,2017,1,Compra menor,14,TRANSITO,4
APÓSITO ABSORBENTE C/ ADHESIVO-23,2017,1,Compra menor,4,ALMACENABLE,1200
APÓSITO ABSORBENTE C/ ADHESIVO-23,2017,1,Compra menor,0,ALMACENABLE,1200
HIDROGEL-37,2017,1,Compra menor,10,ALMACENABLE,350
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,2018,1,Compra menor,10,ALMACENABLE,150
APÓSITO ABSORBENTE C/ ADHESIVO-22,2018,1,Concurso,18,ALMACENABLE,3840
APOSITO DE ESPUMA POLIURETANO-8,2018,1,Concurso,18,ALMACENABLE,100
APOSITO MALLADO C/ PARAFINA-38,2018,1,Concurso,13,ALMACENABLE,1000
APOSITO DE HIDROCOLOIDE-9,2018,1,Compra menor,10,ALMACENABLE,60
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2018,1,Compra menor,10,ALMACENABLE,250
APOSITO C/ CARBON Y PLATA-6,2019,1,Compra menor,13,ALMACENABLE,1200
APOSITO DE HIDROCOLOIDE-6,2019,1,Concurso,4,ALMACENABLE,10
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2019,1,Compra menor,10,ALMACENABLE,130
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2019,1,Compra menor,13,ALMACENABLE,1000
ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,2019,1,Compra menor,18,TRANSITO,12
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,2019,1,Compra menor,10,ALMACENABLE,200
HIDROGEL-37,2020,1,Compra menor,10,ALMACENABLE,250
APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,2020,1,Compra menor,18,ALMACENABLE,5000
APOSITO DE FIBRAS DE POLIACRILATO-3,2020,1,Compra menor,18,ALMACENABLE,70
ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,2020,1,Compra menor,4,TRANSITO,12
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,2020,1,Compra menor,18,ALMACENABLE,70
BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-27,2020,1,Compra menor,11,TRANSITO,5
APOSITO C/ CARBON Y PLATA-6,2021,1,Concurso,13,ALMACENABLE,1200
APOSITO DE HIDROCOLOIDE-7,2021,1,Concurso,10,ALMACENABLE,70
APOSITO MALLADO C/ PARAFINA-38,2021,1,Concurso,13,ALMACENABLE,500
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,2021,1,Concurso,5,TRANSITO,200
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2022,1,Compra menor,10,ALMACENABLE,110
APOSITO DE HIDROFIBRA  / CINTA-18,2022,1,Compra menor,12,TRANSITO,25
APOSITO DE HIDROCOLOIDE-3,2022,1,Concurso,10,ALMACENABLE,265
APOSITO DE HIDROFIBRA HIDROCOLOIDE P/ BOMBA DE UN SOLO USO-26,2022,1,Compra menor,11,TRANSITO,10
APOSITO DE HIDROCOLOIDE-9,2022,1,Concurso,18,ALMACENABLE,207
APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-13,2022,1,Concurso,18,ALMACENABLE,50
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,2022,1,Concurso,18,ALMACENABLE,60
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,2022,1,Concurso,12,TRANSITO,20
APÓSITO TRANSPARENTE ADHESIVO-24,2015,2,Compra menor,18,ALMACENABLE,3200
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2015,2,Compra menor,0,ALMACENABLE,200
HIDROGEL-37,2015,2,Compra menor,0,ALMACENABLE,100
APOSITO DE ESPUMA POLIURETANO / SACRO-11,2015,2,Compra menor,0,ALMACENABLE,200
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2015,2,Compra menor,0,ALMACENABLE,200
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2016,2,Compra menor,6,ALMACENABLE,30
APÓSITO TRANSPARENTE ADHESIVO-20,2016,2,Compra menor,10,ALMACENABLE,1000
APÓSITO ABSORBENTE C/ ADHESIVO-22,2016,2,Compra menor,4,ALMACENABLE,640
APOSITO DE HIDROFIBRA  / CINTA-18,2016,2,Compra menor,3,TRANSITO,30
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2017,2,Concurso,18,ALMACENABLE,60
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2017,2,Concurso,6,ALMACENABLE,200
APÓSITO ABSORBENTE C/ ADHESIVO-23,2017,2,Compra menor,18,ALMACENABLE,1200
APOSITO C/ CARBON Y PLATA-6,2017,2,Concurso,18,ALMACENABLE,300
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2017,2,Compra menor,10,ALMACENABLE,200
APOSITO C/ CARBON Y PLATA-4,2017,2,Concurso,18,ALMACENABLE,160
ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,2017,2,Compra menor,18,TRANSITO,12
GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,2020,2,Compra menor,18,TRANSITO,10
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2020,2,Compra menor,18,ALMACENABLE,70
APÓSITO ABSORBENTE C/ ADHESIVO-23,2020,2,Concurso,18,ALMACENABLE,960
APOSITO DE HIDROFIBRA  / CINTA-18,2020,2,Compra menor,11,TRANSITO,5
APOSITO DE HIDROFIBRA  / CINTA-18,2020,2,Compra menor,18,TRANSITO,50
HIDROGEL-37,2020,2,Compra menor,10,ALMACENABLE,300
APOSITO DE HIDROCOLOIDE-3,2020,2,Concurso,10,ALMACENABLE,290
EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,2020,2,Compra menor,18,TRANSITO,15
APOSITO DE ESPUMA POLIURETANO / SACRO-11,2020,2,Compra menor,10,ALMACENABLE,100
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2020,2,Compra menor,10,ALMACENABLE,120
APOSITO C/ CARBON Y PLATA-4,2020,2,Concurso,10,ALMACENABLE,80
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,2020,2,Compra menor,18,ALMACENABLE,80
APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,2021,2,Concurso,0,ALMACENABLE,50
APOSITO DE HIDROFIBRA  / CINTA-18,2021,2,Compra menor,12,TRANSITO,10
EQ. DE PRESION NEGATIVA CON INSTILACIÓN-33,2021,2,Compra menor,11,TRANSITO,5
EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,2021,2,Compra menor,2,TRANSITO,10
APOSITO DE HIDROFIBRA HIDROCOLOIDE P/ BOMBA DE UN SOLO USO-26,2021,2,Compra menor,11,TRANSITO,5
APOSITO MALLADO C/ SILICONA-0,2021,2,Concurso,0,ALMACENABLE,70
APOSITO DE FIBRAS DE POLIACRILATO-3,2021,2,Concurso,0,ALMACENABLE,80
APÓSITO MALLADO C/ OLIGOSACÁRIDOS-1,2021,2,Concurso,0,ALMACENABLE,30
ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,2021,2,Compra menor,12,TRANSITO,12
ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,2021,2,Compra menor,12,TRANSITO,12
ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,2021,2,Compra menor,13,TRANSITO,12
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,2021,2,Concurso,0,ALMACENABLE,100
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2022,2,Compra menor,18,ALMACENABLE,70
APOSITO DE ESPUMA POLIURETANO / SACRO-11,2022,2,Compra menor,10,ALMACENABLE,100
APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,2022,2,Compra menor,10,ALMACENABLE,7000
APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,2022,2,Compra menor,18,ALMACENABLE,4000
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,2022,2,Concurso,10,ALMACENABLE,110
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,2022,2,Concurso,18,ALMACENABLE,100
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2015,3,Compra menor,4,ALMACENABLE,30
TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 1cm.-30,2015,3,Compra menor,10,ALMACENABLE,350
APOSITO C/ CARBON Y PLATA-6,2015,3,Concurso,4,ALMACENABLE,300
APOSITO C/ CARBON Y PLATA-6,2015,3,Concurso,18,ALMACENABLE,600
APOSITO C/ CARBON Y PLATA-6,2015,3,Concurso,0,ALMACENABLE,300
HIDROGEL-37,2015,3,Compra menor,10,ALMACENABLE,260
APOSITO DE HIDROCOLOIDE-9,2015,3,Compra menor,4,ALMACENABLE,39
APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,2015,3,Compra menor,10,ALMACENABLE,1000
APOSITO MALLADO C/ PARAFINA-39,2015,3,Compra menor,18,ALMACENABLE,220
APOSITO ABSORBENTE S/ ADHESIVO-25,2015,3,Compra menor,10,ALMACENABLE,400
APOSITO C/ CARBON Y PLATA-4,2015,3,Compra menor,18,ALMACENABLE,300
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,2017,3,Compra menor,10,ALMACENABLE,200
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2017,3,Concurso,10,ALMACENABLE,220
HIDROGEL-37,2017,3,Compra menor,10,ALMACENABLE,360
APOSITO DE ESPUMA POLIURETANO-8,2017,3,Concurso,10,ALMACENABLE,200
APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,2017,3,Compra menor,6,ALMACENABLE,6000
APOSITO MALLADO C/ PARAFINA-39,2017,3,Concurso,10,ALMACENABLE,110
APÓSITO ABSORBENTE C/ ADHESIVO-23,2020,3,Concurso,0,ALMACENABLE,960
APÓSITO ABSORBENTE C/ ADHESIVO-23,2020,3,Concurso,18,ALMACENABLE,1440
APOSITO DE HIDROFIBRA  / CINTA-18,2020,3,Compra menor,18,TRANSITO,25
EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,2020,3,Compra menor,2,TRANSITO,5
APOSITO DE ESPUMA POLIURETANO-8,2020,3,Concurso,10,ALMACENABLE,200
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2020,3,Compra menor,13,ALMACENABLE,1000
EQ. DE PRESION NEGATIVA / Espuma de poliuretano-36,2021,3,Compra menor,1,TRANSITO,10
APOSITO DE ESPUMA POLIURETANO / SACRO-11,2021,3,Compra menor,10,ALMACENABLE,50
APÓSITO MALLADO C/ OLIGOSACÁRIDOS-1,2021,3,Concurso,0,ALMACENABLE,30
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,2021,3,Concurso,10,TRANSITO,20
GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,2022,3,Compra menor,18,TRANSITO,10
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,2022,3,Concurso,10,ALMACENABLE,340
APÓSITO ABSORBENTE C/ ADHESIVO-22,2022,3,Concurso,18,ALMACENABLE,3300
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2022,3,Concurso,10,ALMACENABLE,195
APOSITO DE HIDROCOLOIDE-3,2022,3,Concurso,10,ALMACENABLE,250
EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,2022,3,Compra menor,11,TRANSITO,10
EQ. DE PRESION NEGATIVA / Espuma de poliuretano-36,2022,3,Compra menor,11,TRANSITO,10
APOSITO MALLADO C/ PARAFINA-39,2022,3,Concurso,18,ALMACENABLE,200
APOSITO C/ CARBON Y PLATA-4,2022,3,Concurso,18,ALMACENABLE,170
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,2022,3,Concurso,10,ALMACENABLE,100
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,2022,3,Concurso,18,ALMACENABLE,60
APOSITO C/ CARBON Y PLATA-6,2015,4,Concurso,13,ALMACENABLE,300
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2015,4,Compra menor,13,ALMACENABLE,300
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2015,4,Compra menor,13,ALMACENABLE,200
HIDROGEL-37,2015,4,Compra menor,13,ALMACENABLE,300
HIDROGEL-37,2015,4,Compra menor,4,ALMACENABLE,30
APOSITO DE HIDROCOLOIDE-3,2015,4,Compra menor,10,ALMACENABLE,330
APOSITO DE HIDROCOLOIDE-7,2015,4,Compra menor,10,ALMACENABLE,70
APOSITO DE HIDROCOLOIDE-7,2015,4,Compra menor,13,ALMACENABLE,300
APOSITO DE HIDROCOLOIDE-9,2015,4,Compra menor,18,ALMACENABLE,402
APÓSITO ABSORBENTE C/ ADHESIVO-22,2017,4,Compra menor,4,ALMACENABLE,640
APOSITO DE HIDROFIBRA  / CINTA-18,2017,4,Compra menor,4,TRANSITO,5
APOSITO DE HIDROCOLOIDE-9,2017,4,Compra menor,18,ALMACENABLE,279
APOSITO DE FIBRAS DE POLIACRILATO-3,2017,4,Concurso,18,ALMACENABLE,70
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2017,4,Compra menor,13,ALMACENABLE,500
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2018,4,Concurso,4,ALMACENABLE,30
APÓSITO TRANSPARENTE ADHESIVO-24,2019,4,Compra menor,0,ALMACENABLE,1200
APÓSITO ABSORBENTE C/ ADHESIVO-22,2019,4,Concurso,0,ALMACENABLE,1280
APOSITO DE HIDROFIBRA  / CINTA-18,2019,4,Compra menor,12,TRANSITO,25
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2019,4,Concurso,18,ALMACENABLE,265
APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,2019,4,Compra menor,18,ALMACENABLE,4000
ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,2019,4,Compra menor,12,TRANSITO,12
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,2019,4,Compra menor,11,TRANSITO,10
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2020,4,Compra menor,10,ALMACENABLE,110
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2020,4,Compra menor,18,ALMACENABLE,70
APÓSITO TRANSPARENTE ADHESIVO-24,2020,4,Compra menor,0,ALMACENABLE,2400
HIDROGEL-37,2020,4,Compra menor,10,ALMACENABLE,400
APOSITO DE HIDROCOLOIDE-7,2020,4,Concurso,18,ALMACENABLE,140
APOSITO DE HIDROCOLOIDE-9,2020,4,Compra menor,18,ALMACENABLE,201
APOSITO C/ CARBON Y PLATA-4,2020,4,Concurso,18,ALMACENABLE,150
APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,2016,5,Compra menor,10,ALMACENABLE,100
APÓSITO TRANSPARENTE ADHESIVO-24,2016,5,Compra menor,4,ALMACENABLE,1200
APÓSITO ABSORBENTE C/ ADHESIVO-23,2016,5,Compra menor,18,ALMACENABLE,1500
APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,2016,5,Compra menor,10,ALMACENABLE,2000
APOSITO C/ CARBON Y PLATA-4,2016,5,Compra menor,18,ALMACENABLE,170
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2017,5,Concurso,10,ALMACENABLE,250
APOSITO DE ESPUMA POLIURETANO / SACRO-11,2017,5,Concurso,10,ALMACENABLE,100
APOSITO DE ESPUMA POLIURETANO / SACRO-11,2017,5,Concurso,10,ALMACENABLE,50
APÓSITO MALLADO C/ OLIGOSACÁRIDOS-1,2017,5,Compra menor,10,ALMACENABLE,40
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2018,5,Concurso,10,ALMACENABLE,200
APÓSITO TRANSPARENTE ADHESIVO-24,2018,5,Compra menor,18,ALMACENABLE,2000
APÓSITO ABSORBENTE C/ ADHESIVO-22,2018,5,Concurso,18,ALMACENABLE,2560
APOSITO DE ESPUMA POLIURETANO-8,2018,5,Concurso,18,ALMACENABLE,100
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,2019,5,Compra menor,10,ALMACENABLE,190
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,2019,5,Compra menor,0,ALMACENABLE,100
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2019,5,Concurso,0,ALMACENABLE,100
APÓSITO TRANSPARENTE ADHESIVO-20,2019,5,Compra menor,4,ALMACENABLE,400
APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,2019,5,Compra menor,10,ALMACENABLE,8000
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2019,5,Compra menor,0,ALMACENABLE,120
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,2019,5,Compra menor,11,TRANSITO,20
APÓSITO TRANSPARENTE ADHESIVO-20,2021,5,Concurso,4,ALMACENABLE,500
APÓSITO ABSORBENTE C/ ADHESIVO-22,2021,5,Concurso,18,ALMACENABLE,3300
APÓSITO ABSORBENTE C/ ADHESIVO-23,2021,5,Concurso,18,ALMACENABLE,1200
APOSITO C/ CARBON Y PLATA-6,2021,5,Concurso,18,ALMACENABLE,600
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2021,5,Concurso,18,ALMACENABLE,290
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2021,5,Concurso,4,ALMACENABLE,55
APOSITO DE HIDROCOLOIDE-7,2021,5,Concurso,10,ALMACENABLE,60
APOSITO DE HIDROCOLOIDE-9,2021,5,Concurso,10,ALMACENABLE,96
APOSITO DE FIBRAS DE POLIACRILATO-3,2021,5,Concurso,18,ALMACENABLE,80
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,2021,5,Concurso,18,ALMACENABLE,90
APOSITO ESPUMA DE POLIVINILO ALCOHOL  P/ TERAPIA CONVENCIONAL PRESION NEGATIVA-34,2021,5,Compra menor,1,TRANSITO,10
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2022,5,Compra menor,0,ALMACENABLE,100
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2022,5,Concurso,0,ALMACENABLE,200
APOSITO DE HIDROFIBRA  / CINTA-18,2022,5,Compra menor,14,TRANSITO,30
APOSITO ABSORBENTE S/ ADHESIVO-25,2022,5,Compra menor,10,ALMACENABLE,200
ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,2022,5,Compra menor,12,TRANSITO,12
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,2022,5,Concurso,0,ALMACENABLE,100
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,2022,5,Concurso,14,TRANSITO,100
BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA-40,2022,5,Compra menor,11,TRANSITO,5
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2015,6,Compra menor,10,ALMACENABLE,20
APÓSITO TRANSPARENTE ADHESIVO-24,2015,6,Compra menor,0,ALMACENABLE,1200
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2015,6,Compra menor,0,ALMACENABLE,200
HIDROGEL-37,2015,6,Compra menor,0,ALMACENABLE,100
APOSITO DE HIDROCOLOIDE-3,2015,6,Compra menor,6,ALMACENABLE,50
APOSITO DE ESPUMA POLIURETANO-8,2015,6,Concurso,10,ALMACENABLE,200
APOSITO MALLADO C/ PARAFINA-38,2015,6,Compra menor,0,ALMACENABLE,330
APOSITO DE HIDROCOLOIDE-9,2015,6,Compra menor,0,ALMACENABLE,573
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2015,6,Compra menor,10,ALMACENABLE,150
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2015,6,Compra menor,0,ALMACENABLE,200
APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,2016,6,Compra menor,10,ALMACENABLE,100
APÓSITO ABSORBENTE C/ ADHESIVO-22,2016,6,Compra menor,18,ALMACENABLE,3840
APÓSITO ABSORBENTE C/ ADHESIVO-23,2016,6,Compra menor,18,ALMACENABLE,1200
APOSITO C/ CARBON Y PLATA-6,2016,6,Compra menor,13,ALMACENABLE,600
GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,2019,6,Compra menor,18,TRANSITO,10
APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,2019,6,Concurso,10,ALMACENABLE,500
APOSITO C/ CARBON Y PLATA-6,2019,6,Compra menor,13,ALMACENABLE,900
APOSITO DE HIDROCOLOIDE-7,2019,6,Concurso,18,ALMACENABLE,130
APOSITO MALLADO C/ PARAFINA-38,2019,6,Concurso,10,ALMACENABLE,370
APOSITO DE ESPUMA POLIURETANO / SACRO-11,2019,6,Compra menor,10,ALMACENABLE,100
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2019,6,Compra menor,13,ALMACENABLE,800
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2019,6,Compra menor,0,ALMACENABLE,120
APÓSITO MALLADO C/ OLIGOSACÁRIDOS-1,2019,6,Compra menor,10,ALMACENABLE,80
APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-13,2019,6,Compra menor,0,ALMACENABLE,50
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,2019,6,Compra menor,10,TRANSITO,20
APOSITO DE ESPUMA POLIURETANO / SACRO-11,2020,6,Compra menor,10,ALMACENABLE,100
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2020,6,Compra menor,10,ALMACENABLE,140
GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,2021,6,Compra menor,11,TRANSITO,10
GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,2021,6,Compra menor,11,TRANSITO,2
GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,2021,6,Compra menor,18,TRANSITO,5
GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,2021,6,Compra menor,11,TRANSITO,6
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,2021,6,Concurso,10,ALMACENABLE,150
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2021,6,Concurso,0,ALMACENABLE,100
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2021,6,Concurso,13,ALMACENABLE,800
EQ. DE PRESION NEGATIVA CON INSTILACIÓN-33,2021,6,Compra menor,11,TRANSITO,5
APOSITO DE ESPUMA POLIURETANO / SACRO-11,2021,6,Compra menor,10,ALMACENABLE,50
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2021,6,Concurso,10,ALMACENABLE,120
TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 2cm.-31,2022,6,Compra menor,10,ALMACENABLE,350
APÓSITO ABSORBENTE C/ ADHESIVO-22,2022,6,Concurso,10,ALMACENABLE,600
APOSITO C/ CARBON Y PLATA-6,2022,6,Concurso,10,ALMACENABLE,300
APOSITO DE HIDROFIBRA  / CINTA-18,2022,6,Compra menor,14,TRANSITO,5
APOSITO DE HIDROFIBRA  / CINTA-18,2022,6,Compra menor,15,TRANSITO,10
EQ. DE PRESION NEGATIVA / Espuma de poliuretano-36,2022,6,Compra menor,11,TRANSITO,10
APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,2022,6,Concurso,10,ALMACENABLE,380
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,2022,6,Concurso,14,TRANSITO,30
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,2022,6,Concurso,14,TRANSITO,30
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,2022,6,Concurso,15,TRANSITO,60
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2015,7,Compra menor,10,ALMACENABLE,20
APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,2015,7,Concurso,11,TRANSITO,1050
APOSITO C/ CARBON Y PLATA-6,2015,7,Concurso,6,ALMACENABLE,300
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2017,7,Compra menor,10,ALMACENABLE,50
APÓSITO TRANSPARENTE ADHESIVO-20,2017,7,Compra menor,4,ALMACENABLE,600
APÓSITO TRANSPARENTE ADHESIVO-24,2017,7,Compra menor,4,ALMACENABLE,1200
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2017,7,Concurso,4,ALMACENABLE,30
APOSITO DE HIDROCOLOIDE-3,2017,7,Concurso,18,ALMACENABLE,30
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2018,7,Compra menor,0,ALMACENABLE,60
